PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=46.9 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=242 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=240 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=444 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=553 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=643 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=759 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=824 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=936 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1072 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=1150 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1257 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=1353 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=1409 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=1400 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=1431 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=1407 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=1401 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=1397 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=1385 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=1402 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=1339 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=1284 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=1224 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=1180 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=1135 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=1071 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=1012 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=961 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=906 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=874 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=851 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=820 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=859 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=844 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=891 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=902 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=899 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=907 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=895 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=925 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=919 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=870 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=869 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=872 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=885 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=967 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=998 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=984 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=962 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=978 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=964 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=945 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=956 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=915 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=904 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=900 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=894 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=897 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=892 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=906 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=899 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=937 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=911 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=911 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=890 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=919 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=944 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=946 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=928 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=947 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=877 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=888 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=891 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=895 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=841 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=804 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=702 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=721 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=719 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=722 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=749 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=739 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=752 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=754 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=652 ms

--- 10.0.0.2 ping statistics ---
100 packets transmitted, 91 received, 9% packet loss, time 10258ms
rtt min/avg/max/mdev = 46.943/912.084/1430.968/260.940 ms, pipe 14
